,floral,fruity,sweet,woody,green,spicy,animal_musk,earthy,citrus,chemical,gourmand,powdery_amber,overall
Hydroxyl (-OH),19.56,14.72,22.80,25.07,16.50,24.26,21.37,19.38,21.21,21.71,17.57,19.40,22.52
Aldehyde (-CHO),9.28,7.19,7.62,5.96,9.85,8.46,5.44,5.37,21.98,5.80,5.83,14.61,7.59
Ketone (C=O),13.27,13.63,17.67,17.03,11.49,16.73,14.90,18.49,8.37,11.40,12.15,15.21,13.63
Carboxylic acid (-COOH),0.69,2.67,4.09,1.89,2.00,2.88,4.79,1.89,1.95,3.09,6.73,5.09,4.50
Ester (-COO-),43.71,53.11,43.83,32.26,34.47,26.95,16.45,17.79,26.85,27.84,30.21,39.33,33.59
Ether (-O-),64.03,67.75,61.71,51.37,55.41,50.09,27.46,34.39,44.16,48.26,46.63,52.88,51.60
Primary amine (-NH2),1.46,1.27,0.93,0.38,0.44,0.00,2.72,0.20,0.39,0.52,1.97,0.30,1.71
Secondary amine (-NHR),0.46,0.39,0.78,0.19,0.13,0.09,2.46,1.29,0.58,0.32,1.15,0.30,0.84
Tertiary amine (-NR3),0.00,0.26,0.10,0.00,0.04,0.19,1.04,0.40,0.00,0.19,0.49,0.00,0.40
Amide (-CONH-),0.23,0.53,0.47,0.28,0.27,1.95,1.17,0.40,0.39,0.39,0.74,0.22,1.14
Thiol (-SH),0.38,3.64,1.09,0.47,2.35,1.95,12.05,6.46,2.53,8.83,7.64,1.50,3.65
Sulfide (-S-),1.30,4.78,4.82,1.80,6.97,4.46,20.21,19.48,1.56,13.79,17.73,2.02,7.85
Nitrile (-CN),1.38,0.61,0.31,0.85,1.20,0.84,0.13,0.20,3.31,0.84,0.33,1.35,0.90
Aromatic ring,43.40,21.30,37.41,36.80,25.82,34.76,39.51,47.32,11.67,27.90,22.50,22.40,30.48
Phenol,3.14,1.27,5.44,6.24,1.55,7.16,3.63,4.77,0.19,6.83,1.40,1.50,3.85
Benzene ring,41.18,17.62,29.27,32.64,18.50,29.93,19.43,17.00,10.51,17.85,11.25,18.58,21.47
Alkene (C=C),43.48,38.87,34.15,49.39,41.70,44.33,19.69,25.75,56.03,23.52,20.69,43.00,34.22
Alkyne (C#C),0.84,0.22,0.31,0.38,0.67,0.09,0.39,0.10,0.00,0.13,0.08,0.60,0.40
Lactone (cyclic ester),1.00,0.96,2.44,0.95,1.33,1.77,0.00,2.09,0.58,1.16,0.99,2.85,1.36
Terpene (isoprene unit),1.23,0.88,0.62,0.09,0.67,0.56,0.13,0.00,0.78,0.39,0.33,0.52,0.50
Epoxide,0.92,0.88,0.88,1.32,0.75,0.93,0.13,0.40,1.56,0.45,0.25,0.82,0.86
Furan,1.53,2.28,3.68,1.70,1.73,3.16,6.99,8.45,0.78,4.32,4.35,1.80,3.15
Pyridine,0.61,0.09,1.04,1.23,1.73,0.65,3.37,4.37,0.39,1.10,0.74,0.67,1.36
Indole,0.23,0.04,0.00,0.00,0.00,0.09,0.65,0.00,0.00,0.00,0.08,0.00,0.10
Methoxy (-OCH3),11.89,9.86,13.06,10.22,9.36,13.20,6.22,9.44,6.81,9.79,7.72,10.34,9.93
Acetyl (-COCH3),16.72,16.52,15.75,15.89,11.93,13.20,10.49,12.72,11.87,10.57,10.51,14.83,12.44
Nitro (-NO2),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Halide,0.23,0.00,0.05,0.19,0.18,0.09,0.00,0.00,0.19,0.13,0.16,0.07,0.40
